sequence_id,visible_filename,thermal_filename,visible_exists,thermal_exists,notes
0652,DJI_20260602140521_0652_V.JPG,DJI_20260602140521_0652_T.JPG,yes,yes,
0653,DJI_20260602140522_0653_V.JPG,DJI_20260602140522_0653_T.JPG,yes,yes,
0654,DJI_20260602140522_0654_V.JPG,DJI_20260602140523_0654_T.JPG,yes,yes,
0655,DJI_20260602140523_0655_V.JPG,DJI_20260602140523_0655_T.JPG,yes,yes,
0656,DJI_20260602140524_0656_V.JPG,DJI_20260602140524_0656_T.JPG,yes,yes,
0657,DJI_20260602140525_0657_V.JPG,DJI_20260602140525_0657_T.JPG,yes,yes,
0658,DJI_20260602140525_0658_V.JPG,DJI_20260602140525_0658_T.JPG,yes,yes,
0659,DJI_20260602140526_0659_V.JPG,DJI_20260602140526_0659_T.JPG,yes,yes,
0660,DJI_20260602140527_0660_V.JPG,DJI_20260602140527_0660_T.JPG,yes,yes,
0661,DJI_20260602140527_0661_V.JPG,DJI_20260602140527_0661_T.JPG,yes,yes,
0662,DJI_20260602140528_0662_V.JPG,DJI_20260602140528_0662_T.JPG,yes,yes,
0663,DJI_20260602140529_0663_V.JPG,DJI_20260602140529_0663_T.JPG,yes,yes,
0664,DJI_20260602140529_0664_V.JPG,DJI_20260602140530_0664_T.JPG,yes,yes,
0665,DJI_20260602140530_0665_V.JPG,DJI_20260602140530_0665_T.JPG,yes,yes,
0666,DJI_20260602140531_0666_V.JPG,DJI_20260602140531_0666_T.JPG,yes,yes,
0667,DJI_20260602140532_0667_V.JPG,DJI_20260602140532_0667_T.JPG,yes,yes,
0668,DJI_20260602140532_0668_V.JPG,DJI_20260602140532_0668_T.JPG,yes,yes,
0669,DJI_20260602140533_0669_V.JPG,DJI_20260602140533_0669_T.JPG,yes,yes,
0670,DJI_20260602140534_0670_V.JPG,DJI_20260602140534_0670_T.JPG,yes,yes,
0671,DJI_20260602140534_0671_V.JPG,DJI_20260602140534_0671_T.JPG,yes,yes,
0672,DJI_20260602140535_0672_V.JPG,DJI_20260602140535_0672_T.JPG,yes,yes,
0673,DJI_20260602140536_0673_V.JPG,DJI_20260602140536_0673_T.JPG,yes,yes,
0674,DJI_20260602140536_0674_V.JPG,DJI_20260602140537_0674_T.JPG,yes,yes,
0675,DJI_20260602140537_0675_V.JPG,DJI_20260602140537_0675_T.JPG,yes,yes,
0676,DJI_20260602140538_0676_V.JPG,DJI_20260602140538_0676_T.JPG,yes,yes,
0677,DJI_20260602140539_0677_V.JPG,DJI_20260602140539_0677_T.JPG,yes,yes,
0678,DJI_20260602140539_0678_V.JPG,DJI_20260602140539_0678_T.JPG,yes,yes,
0679,DJI_20260602140540_0679_V.JPG,DJI_20260602140540_0679_T.JPG,yes,yes,
0680,DJI_20260602140541_0680_V.JPG,DJI_20260602140541_0680_T.JPG,yes,yes,
0681,DJI_20260602140541_0681_V.JPG,DJI_20260602140542_0681_T.JPG,yes,yes,
0682,DJI_20260602140542_0682_V.JPG,DJI_20260602140542_0682_T.JPG,yes,yes,
0683,DJI_20260602140543_0683_V.JPG,DJI_20260602140543_0683_T.JPG,yes,yes,
0684,DJI_20260602140543_0684_V.JPG,DJI_20260602140544_0684_T.JPG,yes,yes,
